id,message,time,relative_time,author
2401097950,"Fala Nando!
Como alternativa ao Reflector, é possível usar o próprio QuickTime Player para visualizar e até mesmo gravar telas de dispositivos iOS. A única limitação é que o device precisa estar conectado via cabo, não rola gravação wireless.
Sobre usar o 1Password como 2fa, isso perde um pouco o sentido, como o próprio 1Password explica no post https://blog.agilebits.com/... - ""One time passwords are often part of second factor security systems, but using one time passwords doesn’t automatically give you second factor security. Indeed, when you store your TOTP secret in the same place that you keep your password for a site, you do not have second factor security"". Por isso, acabo usando o Google Authenticator no iPhone pra essa finalidade e o 1Password no OS X e no iPhone para gerenciar as senhas (realmente é sensacional).
Ano passado escrevi um post similar, mas descrevendo quais apps eu tenho rodando no menu bar do OS X: http://blog.lucascaton.com.....
Valeu pelo post, abraço!","Quarta-Feira, 9 de Dezembro de 2015 às 08:05",8 anos atrás,Lucas Caton
2401298747,"Como alternativa ao Reflector, é possível usar o próprio QuickTime Player para visualizar e até mesmo gravar telas de dispositivos iOS.
Muito interessante, não sabia disso. Ainda tem a questão de fazer streaming da tela sem ter que gravar, muito útil em apresentações. É possível fazer algo semelhante com Airplay + AppleTV, mas acho que é inviável em apresentações de conferências.
Sobre usar o 1Password como 2fa, isso perde um pouco o sentido[…]
Estou ciente. A facilidade normalmente vem em detrimento da segurança. De qualquer modo, boa sorte em ter que acessar o meu arquivo do 1Password, descobrir a minha senha-mestre, para depois acessar o token do TOTP. Acho que posso viver com esse risco.
Google Authenticator é horrível. Se você precisar trocar de telefone, terá que regerar cada um dos tokens em cada um dos serviços que você usa, já que eles não são sincronizados em nenhum lugar (pelo menos não era). Quando o 1Password não tinha suporte para TOTP, usava o authy, que é infinitamente melhor.","Quarta-Feira, 9 de Dezembro de 2015 às 11:03",8 anos atrás,Nando Vieira
2401316924,"Sobre o Google Authenticator, eu faço uma gambiarra, mas funciona: cada vez que eu pego um novo QRcode, eu tiro um screenshot e salvo todos eles em um diretório criptografado (https://support.apple.com/e.... Para re-adicionar tudo, eu não gasto nem 3 minutos, é só ir tirar foto dos QRcodes novamente.
De qualquer forma, interessante esse Authy, vou testar.","Quarta-Feira, 9 de Dezembro de 2015 às 11:16",8 anos atrás,Lucas Caton
2401323694,"Ou seja, você salva os tokens TOTP no mesmo lugar que suas senhas, exatamente como o 1Password, mas de uma maneira muito menos prática. ¯\_(ツ)_/¯","Quarta-Feira, 9 de Dezembro de 2015 às 11:21",8 anos atrás,Nando Vieira
2401325836,Mas está protegido com uma segunda senha mestre! ツ,"Quarta-Feira, 9 de Dezembro de 2015 às 11:22",8 anos atrás,Lucas Caton
2401327963,Espero que a sua segunda senha-mestre seja complexa e não esteja no 1Password. ¯\_(ツ)_/¯,"Quarta-Feira, 9 de Dezembro de 2015 às 11:24",8 anos atrás,Nando Vieira
2401330983,"É complexa e não está no 1Password ツ
Outra coisa que não está no 1Password é minha senha do Gmail. Se um dia o 1Password falhar de alguma forma, eu consigo recuperar o acesso à maioria dos serviços usando meu email para resetar as senhas!","Quarta-Feira, 9 de Dezembro de 2015 às 11:26",8 anos atrás,Lucas Caton
2387312423,"Show de bola Nando, muito bom mesmo ;)","Terça-Feira, 1 de Dezembro de 2015 às 14:01",8 anos atrás,Lucas Ferreira
2387361916,Obrigado por compartilhar esse conhecimento :),"Terça-Feira, 1 de Dezembro de 2015 às 14:29",8 anos atrás,Fellipe Azambuja (femontanha)
2387707173,Excelente artigo!!! :D,"Terça-Feira, 1 de Dezembro de 2015 às 17:52",8 anos atrás,Lidiane Taquehara
2387923920,"Dicas valiosas, valeu Nando","Terça-Feira, 1 de Dezembro de 2015 às 20:14",8 anos atrás,Leandro Nunes
2387983739,Muito bom Nando!,"Terça-Feira, 1 de Dezembro de 2015 às 21:03",8 anos atrás,Jaydson Gomes
2388042003,"bem legal, mesmo!
bastante completo!","Terça-Feira, 1 de Dezembro de 2015 às 21:55",8 anos atrás,Felipe N . Moura
2388045772,Ótimas dicas!! Meus parabéns =),"Terça-Feira, 1 de Dezembro de 2015 às 21:58",8 anos atrás,Willian Justen de Vasconcellos
2388073085,"Muito boa a sacada de gravar com o fone no celular xD
Parabéns, ótimo artigo :D","Terça-Feira, 1 de Dezembro de 2015 às 22:24",8 anos atrás,Fernando Daciuk
2388087147,Muito bom! Curti demais a dica de gravar a tela e usar um microfone de lapela. Valeu por compartilhar ;),"Terça-Feira, 1 de Dezembro de 2015 às 22:37",8 anos atrás,Rodrigo Antinarelli
2388131412,"MUITA dica boa, ótimo post Nando. :)","Terça-Feira, 1 de Dezembro de 2015 às 23:18",8 anos atrás,walmyrcarvalho
2388197644,Boa Nando. Recusei algumas palestras por causa da timidez. Se você tivesse escrito esse post antes eu não teria recusado =(,"Quarta-Feira, 2 de Dezembro de 2015 às 00:23",8 anos atrás,Daniel Neves
2388225931,Excelente texto! Muito bom!,"Quarta-Feira, 2 de Dezembro de 2015 às 00:54",8 anos atrás,Douglas Fischer
2388568333,É preciso ter coragem para encarar as pessoas cara-a-cara. Boas dicas!!,"Quarta-Feira, 2 de Dezembro de 2015 às 08:33",8 anos atrás,Tiago
2388831740,"Ótimas dicas. Principalmente sobre dividir slides grandes e gravar a apresentação por si mesmo. As vezes pensamos em coisas mais complicadas, sendo que um simples celular resolve tudo.","Quarta-Feira, 2 de Dezembro de 2015 às 12:16",8 anos atrás,Raphael Almeida
2389154607,"Ótimo texto, Nando.
Valeu!","Quarta-Feira, 2 de Dezembro de 2015 às 15:24",8 anos atrás,Newton Calegari
2390644898,Ótimas dicas Nando! Valeu!,"Quinta-Feira, 3 de Dezembro de 2015 às 10:45",8 anos atrás,Leonardo Cristofani
2392807510,Boa!,"Sexta-Feira, 4 de Dezembro de 2015 às 07:19",8 anos atrás,Caio Ribeiro Pereira
